drawing,section,symbol,spec_raw,spec_normalized,spec_note,source_sheet,source_table_title,symbol_x,symbol_y
도면1,1동,MC1,H- 588x300x12/20,H-588x300x12x20,,1~3층 기둥주심도,,86305.7,1077612.9
도면1,1동,MC1,H- 588x300x12/20,H-588x300x12x20,,(1동) 기둥주심도-1,,127236,1077612.9
도면1,1동,MC1,H- 588x300x12/20,H-588x300x12x20,,(1동) 기둥주심도-2,,168166.3,1077612.9
도면1,1동,MC1,H- 588x300x12/20,H-588x300x12x20,,(1동) 기둥부호도-1,,209096.5,1077612.9
도면1,1동,MC2,H- 200x200x8/12,H-200x200x8x12,,1~3층 기둥주심도,,86311.6,1077124.7
도면1,1동,MC2,H- 200x200x8/12,H-200x200x8x12,,(1동) 기둥주심도-1,,127241.9,1077124.7
도면1,1동,MC2,H- 200x200x8/12,H-200x200x8x12,,(1동) 기둥주심도-2,,168172.1,1077124.7
도면1,1동,MC2,H- 200x200x8/12,H-200x200x8x12,,(1동) 기둥부호도-1,,209102.4,1077124.7
도면1,1동,RSB1,H- 600x200x11/17,H-600x200x11x17,,(2동)Y01열골구도,,372766.5,1078097.4
도면1,1동,RSB2,H- 250x125x6/9,H-250x125x6x9,,(2동)Y01열골구도,,372766.5,1077612.5
도면1,1동,RSB3,H- 200x100x5.5/8,H-200x100x5.5x8,,(2동)Y01열골구도,,372766.5,1077127.7
도면1,1동,RSG1,H- 600x200x11/17,H-600x200x11x17,,(2동)Y01열골구도,,372746.1,1080036.7
도면1,1동,RSG2,H- 600x200x11/17,H-600x200x11x17,,(2동)Y01열골구도,,372757.9,1079551.9
도면1,1동,RSG3,H- 300x150x6.5/9,H-300x150x6.5x9,,(2동)Y01열골구도,,372757.9,1079067.1
도면1,1동,SB1,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,290987.8,1078097.4
도면1,1동,SB1,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,331918.1,1078097.4
도면1,1동,SB2,H- 250x125x6/9,H-250x125x6x9,,(1동) 기둥부호도-2,,290987.8,1077612.5
도면1,1동,SB2,H- 250x125x6/9,H-250x125x6x9,,(1동) 기둥부호도-2,,331918.1,1077612.5
도면1,1동,SB3,H- 200x100x5.5/8,H-200x100x5.5x8,,(1동) 기둥부호도-2,,290987.8,1077127.7
도면1,1동,SB3,H- 200x100x5.5/8,H-200x100x5.5x8,,(1동) 기둥부호도-2,,331918.1,1077127.7
도면1,1동,SG1,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,290967.4,1080036.7
도면1,1동,SG1,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,331897.7,1080036.7
도면1,1동,SG2,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,290979.2,1079551.9
도면1,1동,SG2,H- 600x200x11/17,H-600x200x11x17,,(1동) 기둥부호도-2,,331909.5,1079551.9
도면1,1동,SG3,H- 300x150x6.5/9,H-300x150x6.5x9,,(1동) 기둥부호도-2,,290979.2,1079067.1
도면1,1동,SG3,H- 300x150x6.5/9,H-300x150x6.5x9,,(1동) 기둥부호도-2,,331909.5,1079067.1
도면1,2동,CRG1,H-400x200x8x13,H-400x200x8x13,,(2동) SL+4.0M구조평면도,,249762.3,1184472.2
도면1,2동,MC1,H- 400x200x8/13,H-400x200x8x13,,기둥주심도,,86098.7,1185784.3
도면1,2동,MC1,H- 400x200x8/13,H-400x200x8x13,,(2동) 기둥주심도,,127028.9,1185784.3
도면1,2동,MC1,H- 400x200x8/13,H-400x200x8x13,,SL+4.0M구조평면도,,208889.4,1185784.3
도면1,2동,MC2,H- 440x300x11/18,H-440x300x11x18,,기둥주심도,,86104,1185344.9
도면1,2동,MC2,H- 440x300x11/18,H-440x300x11x18,,(2동) 기둥주심도,,127034.2,1185344.9
도면1,2동,MC2,H- 440x300x11/18,H-440x300x11x18,,SL+4.0M구조평면도,,208894.7,1185344.9
도면1,2동,MC3,H- 250x250x9/14,H-250x250x9x14,,기둥주심도,,86104,1184908.6
도면1,2동,MC3,H- 250x250x9/14,H-250x250x9x14,,(2동) 기둥주심도,,127034.2,1184908.6
도면1,2동,MC3,H- 250x250x9/14,H-250x250x9x14,,SL+4.0M구조평면도,,208894.7,1184908.6
도면1,2동,MT1,H- 400x200x8/13,H-400x200x8x13,,(2동) SL+4.7M구조평면도,,290776,1185347.6
도면1,2동,SC1,H- 300x150x6.5/9,H-300x150x6.5x9,,기둥주심도,,86122.7,1184472.2
도면1,2동,SC1,H- 300x150x6.5/9,H-300x150x6.5x9,,(2동) 기둥주심도,,127053,1184472.2
도면1,2동,SC1,H- 300x150x6.5/9,H-300x150x6.5x9,,SL+4.0M구조평면도,,208913.5,1184472.2
도면1,2동,SG1,H- 350x350x12/19,H-350x350x12x19,,SL+4.0M구조평면도,,215778.8,1184911.5
도면1,2동,VG1,H- 250x125x6/9,H-250x125x6x9,,(2동) SL+4.7M구조평면도,,290780.5,1184911.5
도면1,2동,VT1,H- 250x125x6/9,H-250x125x6x9,,(2동) SL+4.7M구조평면도,,290798.9,1184474.9
도면1,2동,WG1,H- 200x200x8/12,H-200x200x8x12,,(2동) SL+4.0M구조평면도,,249811.7,1184911.5
도면2,,SB1,H-200x100x5.5x8.0,H-200x100x5.5x8.0,,"가,나동 지붕 구조평면도",MEMBER LIST,432340.5,105048.2
도면2,,SB2,H-125x125x6.5x9.0,H-125x125x6.5x9.0,,"가,나동 지붕 구조평면도",MEMBER LIST,432340.5,104379.3
도면2,,SC1,H-250x125x6.0x9.0,H-250x125x6.0x9.0,,"가,나동 1층 구조평면도",MEMBER LIST,390018,105048.2
도면2,,SC2,H-200x100x5.5x8.0,H-200x100x5.5x8.0,,"가,나동 1층 구조평면도",MEMBER LIST,390018,104379.3
도면2,,SG1,H-200x100x5.5x8.0,H-200x100x5.5x8.0,,"가,나동 지붕 구조평면도",MEMBER LIST,432340.5,107054.7
도면2,,SG2,H-250x125x6.0x9.0,H-250x125x6.0x9.0,,"가,나동 지붕 구조평면도",MEMBER LIST,432340.5,106385.9
도면3,,B1,400x200x8x13,H-400x200x8x13,,2층바닥 구조평면도,,6537693.4,-4156268.8
도면3,,B1,400x200x8x13,H-400x200x8x13,,중간1층바닥 구조평면도,,6621793.4,-4156268.8
도면3,,B2,500x200x10x16,H-500x200x10x16,,2층바닥 구조평면도,,6537693.4,-4156768.8
도면3,,B2,500x200x10x16,H-500x200x10x16,,중간1층바닥 구조평면도,,6621793.4,-4156768.8
도면3,,B3,400x200x8x13,H-400x200x8x13,,2층바닥 구조평면도,,6537693.4,-4157268.8
도면3,,B3,400x200x8x13,H-400x200x8x13,,중간1층바닥 구조평면도,,6621793.4,-4157268.8
도면3,,C1,600x407x20x35,H-600x407x20x35,,1층바닥 구조평면도,,6447711.6,-4156500.2
도면3,,C2,428x407x20x35,H-428x407x20x35,,1층바닥 구조평면도,,6447711.6,-4157500.2
도면3,,C3,400x400x13x21,H-400x400x13x21,,1층바닥 구조평면도,,6447711.6,-4158000.2
도면3,,C4,300x300x10x15,H-300x300x10x15,,1층바닥 구조평면도,,6447711.6,-4158500.2
도면3,,CB1,194x150x6x9,H-194x150x6x9,,2층바닥 구조평면도,,6537693.4,-4160268.8
도면3,,CG1,400x200x8x13,H-400x200x8x13,,2층바닥 구조평면도,,6532693.4,-4160268.8
도면3,,CG1,588x300x12x20,H-588x300x12x20,,중간1층바닥 구조평면도,,6616712.7,-4160772.9
도면3,,G1,400x200x8x13,H-400x200x8x13,,2층바닥 구조평면도,,6532693.4,-4156268.8
도면3,,G1,400x200x8x13,H-400x200x8x13,,중간1층바닥 구조평면도,,6616793.4,-4156268.8
도면3,,G2,500x200x10x16,H-500x200x10x16,,2층바닥 구조평면도,,6532693.4,-4156768.8
도면3,,G2,500x200x10x16,H-500x200x10x16,,중간1층바닥 구조평면도,,6616793.4,-4156768.8
도면3,,G3,1200x303x19x37,H-1200x303x19x37,,2층바닥 구조평면도,,6532658.8,-4157268.8
도면3,,G3,1200x303x19x37,H-1200x303x19x37,,중간1층바닥 구조평면도,,6616758.8,-4157268.8
도면3,,G4,800x300x8x13,H-800x300x8x13,,2층바닥 구조평면도,,6532693.4,-4158268.8
도면3,,G4,800x300x8x13,H-800x300x8x13,,중간1층바닥 구조평면도,,6616793.4,-4158268.8
도면3,,G5,600x200x11x17,H-600x200x11x17,,2층바닥 구조평면도,,6532693.4,-4158768.8
도면3,,G5,600x200x11x17,H-600x200x11x17,,중간1층바닥 구조평면도,,6616793.4,-4158768.8
도면3,,G6,500x200x10x16,H-500x200x10x16,,2층바닥 구조평면도,,6532693.4,-4159268.8
도면3,,G6,500x200x10x16,H-500x200x10x16,,중간1층바닥 구조평면도,,6616793.4,-4159268.8
도면3,,MG1,200x200x8x12,H-200x200x8x12,,중간1층바닥 구조평면도,,6621793.4,-4160768.8
도면3,,RB1,194x150x6x9,H-194x150x6x9,,지붕층 구조평면도,,6705893.4,-4156268.8
도면3,,RB2,200x200x8x12,H-200x200x8x12,,지붕층 구조평면도,,6705893.4,-4156768.8
도면3,,RG1,194x150x6x9,H-194x150x6x9,,지붕층 구조평면도,,6700893.4,-4156268.8
도면3,,RG2,200x200x8x12,H-200x200x8x12,,지붕층 구조평면도,,6700893.4,-4156768.8
도면3,,RG3,500x200x10x16,H-500x200x10x16,,지붕층 구조평면도,,6700893.4,-4157268.8
도면3,,RG4,600x200x11x17,H-600x200x11x17,,지붕층 구조평면도,,6700893.4,-4157768.8
도면4,,SB1,H 194x150x6/9,H-194x150x6x9,,지붕층 구조평면도,보 일람표,4460816.4,-1606021.1
도면4,,SC1,H 350x175x7/11,H-350x175x7x11,,1층구조평면도,기둥 일람표,4418782.1,-1604425.3
도면4,,SC1,H 350x175x7/11,H-350x175x7x11,,지붕층 구조평면도,기둥 일람표,4460816.4,-1604456.7
