도면,동,부재종류,부호,개수,길이_mm,규격,단위중량_kg_per_m,총중량_kg,count_from,spec_from,length_from,비고
도면1,1동,기둥,(skip),,,,,,,,,1동에 골구도/입면도/단면도 시트 부재로 기둥 길이 산출 불가 (정답지 명시)
도면1,2동,기둥,MC1,15,6000,H-400x200x8x13,64.31,5787.6,(2동)기둥주심도,(2동)기둥주심도,"(2동)Y01열골구도, (2동)Y03,Y05열골구도",
도면1,2동,기둥,MC2,4,6000,H-440x300x11x18,119.67,2872,(2동)기둥주심도,(2동)기둥주심도,"(2동)Y01열골구도, (2동)Y03,Y05열골구도",
도면1,2동,기둥,MC3,2,6000,H-250x250x9x14,70.63,847.6,(2동)기둥주심도,(2동)기둥주심도,"(2동)Y01열골구도, (2동)Y03,Y05열골구도",
도면1,2동,기둥,SC1,4,6000,H-300x150x6.5x9,35.58,854,(2동)기둥주심도,(2동)기둥주심도,"(2동)Y01열골구도, (2동)Y03,Y05열골구도",
도면2,,기둥,SC1,10,7700,H-250x125x6.0x9.0,28.59,2201.4,(override:10),"가,나동 1층 구조평면도","가,나동 횡단면도",count_override
도면2,,기둥,SC2,4,7700,H-200x100x5.5x8.0,20.5,631.5,(override:4),"가,나동 1층 구조평면도","가,나동 횡단면도",count_override
도면3,,기둥,C1,8,19060,H-600x407x20x35,306.86,46789.5,1층바닥 구조평면도,1층바닥 구조평면도,"종단면도, 계단단면도",
도면3,,기둥,C2,15,19060,H-428x407x20x35,279.85,80009.8,1층바닥 구조평면도,1층바닥 구조평면도,"종단면도, 계단단면도",
도면3,,기둥,C3,8,19060,H-400x400x13x21,168.41,25679.8,1층바닥 구조평면도,1층바닥 구조평면도,"종단면도, 계단단면도",
도면3,,기둥,C4,1,19060,H-300x300x10x15,91.84,1750.6,1층바닥 구조평면도,1층바닥 구조평면도,"종단면도, 계단단면도",
도면4,,기둥,SC1,14,9000,H-350x175x7x11,48.25,6079,1층 구조평면도,1층 구조평면도,"종단면도, 횡단면도",
도면4,,기둥,SC2,4,9000,H-194x150x6x9,29.48,1061.4,1층 구조평면도,1층 구조평면도,"종단면도, 횡단면도",
도면5,,기둥,C1,2,10500,H-300x300x10x15,91.84,1928.7,1층바닥 구조평면도,1층바닥 구조평면도,"주단면도1, 주단면도4",
도면5,,기둥,C2,4,10500,H-250x250x9x14,70.63,2966.6,1층바닥 구조평면도,1층바닥 구조평면도,"주단면도1, 주단면도4",
도면5,,기둥,C3,8,10500,H-450x200x9x14,73.77,6197,1층바닥 구조평면도,1층바닥 구조평면도,"주단면도1, 주단면도4",
도면5,,기둥,C4,6,10500,H-200x200x8x12,48.73,3070.2,1층바닥 구조평면도,1층바닥 구조평면도,"주단면도1, 주단면도4",
총합,,,,,,,,188726.7,,,,
